"code_ticket","categorie","nom","quantite","prix_unitaire","total_ttc","tva_code","tva_taux","ht","mt_tva"
"20260302_141721","BIERES PANACHES","PANACHE LICORNE ELS.0,9°6X25CL",1,3.33,3.33,13,0.2,2.775,0.555
"20260302_141721","BIERES PANACHES","BIERE METEOR PILS V.C 75CL",1,1.35,1.35,13,0.2,1.125,0.225
"20260302_141721","CHIEN-CHAT","GOURMET PERLE FILET.4VAR.4X85G",2,1.85,3.7,13,0.2,3.08333333333333,0.616666666666667
"20260302_141721","CONFITURES MIEL P.A.TARTINER","MIEL D ACACIA 500G                     (T)",1,9.65,9.65,11,0.055,9.14691943127962,0.503080568720378
"20260302_141721","CONSIGNE","CONSIGNE BIERES",1,0.21,0.21,0,NA,NA,NA
"20260302_141721","DECONSIGNE","DECONSIGNE",-1,0.63,-0.63,0,NA,NA,NA
"20260402_115644","APERITIFS","AMER BIERE CUSENIER 14,8° 1L",1,6.6,6.6,13,0.2,5.5,1.1
"20260402_115644","BIERES PANACHES","BI.PRINTEMPS METEOR5,5°VC 75CL",2,1.85,3.7,13,0.2,3.08333333333333,0.616666666666667
"20260402_115644","BOULANGERIE","MORICETTES X4 + 1 OFFERTE",1,2.95,2.95,11,0.055,2.79620853080569,0.153791469194313
"20260402_115644","CHARCUTERIE FRAICH EMBAL","JAMBON SUP DD VPF U 4TR 240G",1,3.29,3.29,11,0.055,3.11848341232227,0.171516587677725
"20260402_115644","CHIEN-CHAT","GOURMET PERLE 4 VARIET.S.4X85G",2,1.86,3.72,13,0.2,3.1,0.62
"20260402_115644","CONSERVES DE LEGUMES","LENTILLES CUIS.CASSEGR.X2 530G",1,3.2,3.2,11,0.055,3.03317535545024,0.166824644549763
"20260402_115644","CONSIGNE","CONSIGNE BIERES",2,0.21,0.42,0,NA,NA,NA
"20260402_115644","DECONSIGNE","DECONSIGNE",-1,0.84,-0.84,0,NA,NA,NA
"20260402_115644","DECONSIGNE","DECONSIGNE",-1,0.42,-0.42,0,NA,NA,NA
"20260402_115644","FROMAGE COUPE","LE CHARTREUX 30%MG LC",NA,NA,4.72,11,0.055,4.4739336492891,0.2460663507109
"20260402_115644","FROMAGE COUPE EMBALLE","BUCHE DU PILAT LT PAST.21%MG",NA,NA,1.21,11,0.055,1.14691943127962,0.063080568720379
"20260402_115644","FROMAGE COUPE EMBALLE","SAINT-NECTAIRE AOP FERM.U SAV.",NA,NA,3.2,11,0.055,3.03317535545024,0.166824644549763
"20260402_115644","FROMAGE COUPE EMBALLE","MUNSTER AOP DODIN",NA,NA,6.06,11,0.055,5.74407582938389,0.315924170616113
"20260402_115644","FRUITS","POMME PRIX MINI SACHET 2KG",1,2.99,2.99,11,0.055,2.83412322274882,0.155876777251185
"20260402_115644","PATES","NIDS 2MM IGP VALFLEURI 3X250G",1,2.89,2.89,11,0.055,2.739336492891,0.150663507109005
"20251103_190038","BIERES PANACHES","LA TRAPPE QUADRUPEL 10°BLE33CL",1,2.54,2.54,13,0.2,2.11666666666667,0.423333333333333
"20251103_190038","CONDIMENTS-SAUCES FROIDE","CORNICHON E.F U 37CL 185G",1,1.29,1.29,11,0.055,1.22274881516588,0.0672511848341231
