source,target,value
RECETTE FIXE,RECETTE,2694
SALAIRE NET,RECETTE FIXE,2550
RECETTE,INVESTISSEMENT,1000
RECETTE,DEPENSE VARIABLE,861
RECETTE,DEPENSE FIXE,585
DEPENSE FIXE,LOYER + CHARGE,484
RECETTE,IMPREVU,374
RECETTE VARIABLE,RECETTE,330
DEPENSE VARIABLE,FRAIS DE TRANSPORT,322
REMBOURSEMENT CREANCE,RECETTE VARIABLE,300
DEPENSE VARIABLE,FRAIS DE NOURRITURE,300
INVESTISSEMENT,PRÊT,300
INVESTISSEMENT,THESAURISATION,300
RECETTE,LOISIRS,204
INVESTISSEMENT,BOURSE,200
INVESTISSEMENT,EPARNE,200
LOISIRS,DEUTSCHKURS,200
AIDE TRANSPORT,RECETTE FIXE,116
DEPENSE VARIABLE,FRAIS MEDICAUX,100
DEPENSE VARIABLE,FRAIS CHAT,50
DEPENSE VARIABLE,IMPOT,42
DEPENSE VARIABLE,FRAIS DE NOEL,42
DEPENSE FIXE,TELEPHONE MOBILE,36
DIVIDENDE ET INTERET,RECETTE VARIABLE,30
TICKET RESTAURANT,RECETTE FIXE,28
DEPENSE FIXE,ELECTRICITE,26
DEPENSE FIXE,BBOX,20
DEPENSE FIXE,BANQUE,11
DEPENSE FIXE,ASSURANCE HABITATION,9
DEPENSE VARIABLE,FRAIS DE VELO,5
LOISIRS,VOCABLE,4
